Plot,Peristiwa,Dialog (3D1),Perasaan (DEBAR),Mon Dalam (3D1),Mon Luar (3D1),Gambaran (KEPO/BAYANG),Peribahasa (PEMBACA),Frasa Besar (FLORA)
Permulaan,,,,,,,,
Sub-Konflik,,,,,,,,
Konflik,,,,,,,,
Sub-Kemuncak,,,,,,,,
Kemuncak,,,,,,,,
Peleraian,,,,,,,,
Penutup,,,,,,,,
